,0,1
104,,1FULL FAITH AND CREDIT
105,,1NONGUARANTEED
106,,1PUBLIC DEBT FOR PRIVATE PURPOSES
107,,3EDUCATION
108,,1UTILITIES
109,,1OTHER
110,,1LONG-TERM DEBT ISSUED
111,,1LONG-TERM DEBT RETIRED
112,,1INSURANCE TRUST FUNDS
113,,3UNEMPLOYMENT COMPENSATION
114,,3EMPLOYEE RETIREMENT
115,,3WORKERS' COMPENSATION
116,,1MISCELLANEOUS
117,,1OTHER THAN INSURANCE TRUST FUNDS
118,,1OFFSETS TO DEBT
119,,1BOND FUNDS
120,,2OTHER
121,,1BY PURPOSE
122,,1ELEMENTARY & SECONDARY
123,,5NAN
124,,6NAN
125,,1FROM LOCAL GOVERNMENT
126,,1INSTITUTIONS OF HIGHER EDUCATION
127,,1OTHER THAN GENERAL REVENUE
128,,1SOCIAL SERVICES AND INCOME MAINTENANCE:
129,,1EMPLOYMENT SECURITY ADMINISTRATION
130,,1INSURANCE TRUST REVENUE2
131,,1CHARGES AND MISCELLANEOUS GENERAL REVENUE
